Designator,Footprint,Quantity,Value,LCSC Part #
BOOT,SW-SMD_L3.9-W3.0-P4.45,1,BOOT,C720477
"C1, C2, C3, C8",0805,4,1uF,C116352
"C4, C6, C7, C9",0805,4,100nF,C344180
CARD1,TF-SMD_TF-PUSH,1,TF PUSH,C393941
"J5, J6",PinHeader_1x09_P2.54mm_Vertical,2,Conn_01x09,C492408
NRST,SW-SMD_L3.9-W3.0-P4.45,1,RESET,C720477
PB3,SW-SMD_L3.9-W3.0-P4.45,1,PB1,C720477
PB4,SW-SMD_L3.9-W3.0-P4.45,1,PB0,C720477
"R3, R4",0805,2,5.1k,C2930296
"R6, R7, R8",0805,3,10k,C54921249
U1,JEITA_SOIC-8_3.9x4.9mm_P1.27mm,1,CH340N,C2977777
U2,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,1,ME6211A33M3G-N,C168807
U3,TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL,1,PY32F002BF15P6TR,C22438998
USB1,USB-C-SMD_TYPE-C-16PIN-2MD-073,1,TYPE-C 16PIN 2MD,C2765186
