Designator,Mid X,Mid Y,Rotation,Layer
BOOT,116.0,-70.253605,90.0,top
C1,102.86,-90.2,90.0,top
C2,105.42,-90.2,90.0,top
C3,108.39,-78.97,90.0,top
C4,105.61,-78.97,90.0,top
C6,103.54,-86.8,0.0,top
C7,87.36,-74.27,90.0,top
C8,90.37,-74.27,90.0,top
C9,111.21,-65.48,90.0,top
CARD1,100.0,-70.24,180.0,top
J5,114.75,-89.499489,0.0,top
J6,85.25,-89.5,0.0,top
NRST,116.0,-63.653605,90.0,top
PB3,84.0,-70.253605,90.0,top
PB4,84.0,-63.653605,90.0,top
R3,92.4625,-93.7,180.0,top
R4,92.4625,-96.28,180.0,top
R6,114.5825,-74.56,0.0,top
R7,89.1675,-67.63,0.0,top
R8,89.1675,-70.62263,0.0,top
U1,98.72,-91.71,90.0,top
U2,103.75,-94.057782,180.0,top
U3,98.0,-82.21,0.0,top
USB1,100.0,-100.0,0.0,top
