"Reference","Footprint","Qty","Value","LCSC Part"
"C1,C2,C3","Capacitor_SMD:C_0805_2012Metric","3","1uF","C116352"
"C4,C5","Capacitor_SMD:C_0805_2012Metric","2","100nF","C344180"
"J2","easyeda2kicad:TF-SMD_TF-PUSH","1","Micro_SD_Card","C393941"
"J5,J6","Connector_PinHeader_2.54mm:PinHeader_1x09_P2.54mm_Vertical","2","Conn_01x09","C492408"
"R3,R4","Resistor_SMD:R_0805_2012Metric","2","5.1k","C2930296"
"R5","Resistor_SMD:R_0805_2012Metric","1","10k","C54921249"
"SW1,SW3","easyeda2kicad:SW-SMD_L3.9-W3.0-P4.45","2","RESET","C720477"
"SW2,SW4","easyeda2kicad:SW-SMD_L3.9-W3.0-P4.45","2","BOOT","C720477"
"U1","Package_SO:JEITA_SOIC-8_3.9x4.9mm_P1.27mm","1","CH340N","C2977777"
"U2","easyeda2kicad:SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR","1","ME6211A33M3G-N","C168807"
"U3","easyeda2kicad:TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL","1","PY32F002BF15P6TR","C22438998"
"USB1","easyeda2kicad:USB-C-SMD_TYPE-C-16PIN-2MD-073","1","TYPE-C 16PIN 2MD","C2765186"
