Designator,Footprint,Quantity,Value,LCSC Part #
"BOOT, PB1",SW-SMD_L3.9-W3.0-P4.45,2,BOOT,
"C1, C2, C3",0805,3,1uF,
"C4, C5",0805,2,100nF,
J2,TF-SMD_TF-PUSH,1,Micro_SD_Card,
"J5, J6",PinHeader_1x09_P2.54mm_Vertical,2,Conn_01x09,
"NRST, PB0",SW-SMD_L3.9-W3.0-P4.45,2,RESET,
"R3, R4",0805,2,5.1k,
R5,0805,1,10k,
U1,JEITA_SOIC-8_3.9x4.9mm_P1.27mm,1,CH340N,
U2,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,1,ME6211A33M3G-N,C168807
U3,TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL,1,PY32F002BF15P6TR,C22438998
USB1,USB-C-SMD_TYPE-C-16PIN-2MD-073,1,TYPE-C 16PIN 2MD,C2765186
