Designator,Mid X,Mid Y,Rotation,Layer
BOOT,161.83,-66.5,90.0,top
C1,145.24,-94.83,270.0,top
C2,145.24,-91.08,270.0,top
C3,152.9,-90.64,90.0,top
C4,155.0,-90.64,90.0,top
C5,153.77,-79.5175,90.0,top
J2,147.29,-71.35,270.0,top
J5,161.24,-92.58,0.0,top
J6,138.75,-92.58,0.0,top
NRST,156.84,-66.5,90.0,top
PB0,156.84,-73.77,90.0,top
PB1,161.83,-73.77,90.0,top
R3,155.0,-94.83,90.0,top
R4,145.23,-98.5775,90.0,top
R5,156.15,-79.5175,90.0,top
U1,149.215,-94.99,90.0,top
U2,153.72,-98.5,180.0,top
U3,151.52,-85.0425,0.0,top
USB1,150.0,-103.420872,0.0,top
